canton_id;canton;municipality_id;municipality;registered_voters;cast_ballots;participation_rate;blank_votes;invalid_votes;valid_ballots;yes;no;yes_perc
10;Fribourg / Freiburg;2200;Grolley;1'304;743;57;9;5;729;402;327;55.1
10;Fribourg / Freiburg;2206;Marly;4'826;2'835;58.7;29;22;2'784;1'414;1'370;50.8
10;Fribourg / Freiburg;2208;Matran;1'035;626;60.5;4;4;618;324;294;52.4
10;Fribourg / Freiburg;2211;Neyruz (FR);1'733;1'100;63.5;15;0;1'085;531;554;48.9
10;Fribourg / Freiburg;2216;Pierrafortscha;113;79;69.9;0;0;79;51;28;64.6
10;Fribourg / Freiburg;2217;Ponthaux;540;304;56.3;4;0;300;182;118;60.7
10;Fribourg / Freiburg;2220;Le Mouret;2'204;1'233;55.9;16;7;1'210;821;389;67.9
10;Fribourg / Freiburg;2226;Treyvaux;1'033;730;70.7;13;0;717;462;255;64.4
10;Fribourg / Freiburg;2228;Villars-sur-Glƒne;6'691;3'816;57;44;16;3'756;1'710;2'046;45.5
10;Fribourg / Freiburg;2230;Villarsel-sur-Marly;45;32;71.1;0;0;32;17;15;53.1
10;Fribourg / Freiburg;2233;Hauterive (FR);1'694;880;51.9;13;4;863;482;381;55.9
10;Fribourg / Freiburg;2234;La Brillaz;1'407;856;60.8;13;0;843;456;387;54.1
10;Fribourg / Freiburg;2235;La Sonnaz;830;419;50.5;4;0;415;225;190;54.2
10;Fribourg / Freiburg;2236;Gibloux;5'036;2'786;55.3;33;1;2'752;1'597;1'155;58
10;Fribourg / Freiburg;2237;Prez;1'520;841;55.3;1;0;840;496;344;59
10;Fribourg / Freiburg;2238;Bois-d'Amont;1'532;773;50.5;9;1;763;433;330;56.7
10;Fribourg / Freiburg;2250;Courgevaux;812;448;55.2;4;0;444;238;206;53.6
10;Fribourg / Freiburg;2254;Courtepin;2'774;1'554;56;18;0;1'536;923;613;60.1
10;Fribourg / Freiburg;2257;Cressier (FR);592;400;67.6;5;3;392;198;194;50.5
10;Fribourg / Freiburg;2258;Fr„schels;343;227;66.2;4;1;222;124;98;55.9
10;Fribourg / Freiburg;2259;Galmiz;506;268;53;1;0;267;171;96;64
10;Fribourg / Freiburg;2260;Gempenach;249;143;57.4;0;0;143;84;59;58.7
10;Fribourg / Freiburg;2261;Greng;130;89;68.5;1;1;87;53;34;60.9
10;Fribourg / Freiburg;2262;Gurmels;3'104;1'757;56.6;6;0;1'751;1'008;743;57.6
10;Fribourg / Freiburg;2265;Kerzers;3'043;1'649;54.2;7;5;1'637;817;820;49.9
10;Fribourg / Freiburg;2266;Kleinb”singen;526;288;54.8;1;0;287;164;123;57.1
10;Fribourg / Freiburg;2271;Meyriez;478;303;63.4;4;1;298;148;150;49.7
10;Fribourg / Freiburg;2272;Misery-Courtion;1'198;562;46.9;4;2;556;350;206;62.9
10;Fribourg / Freiburg;2274;Muntelier;708;440;62.1;5;0;435;200;235;46
10;Fribourg / Freiburg;2275;Murten;5'425;2'868;52.9;7;4;2'857;1'448;1'409;50.7
